SuperWEB2(tm)

"Household"
"Household size - 5 groups, collapsed, Type of accomodation, Household composition - 10 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"


"Household size - 5 groups, collapsed","Type of accomodation","Household composition - 10 groups, collapsed","Number of cars or vans - 3 groups, collapsed",
,,,"Number of cars or vans in household: One car or van",39157,
,,,"Number of cars or vans in household: Two or more cars or vans",1153,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",182810,
,,,"Number of cars or vans in household: One car or van",139751,
,,,"Number of cars or vans in household: Two or more cars or vans",8427,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",2979,
,,,"Number of cars or vans in household: One car or van",2970,
,,,"Number of cars or vans in household: Two or more cars or vans",167,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",5064,
,,,"Number of cars or vans in household: One car or van",6965,
,,,"Number of cars or vans in household: Two or more cars or vans",649,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,"Flat, maisonette or apartment: In a commercial building","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",453,
,,,"Number of cars or vans in household: One car or van",413,
,,,"Number of cars or vans in household: Two or more cars or vans",34,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",2041,
,,,"Number of cars or vans in household: One car or van",1667,
,,,"Number of cars or vans in household: Two or more cars or vans",165,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,"Caravan or other mobile or temporary structure","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",293,
,,,"Number of cars or vans in household: One car or van",524,
,,,"Number of cars or vans in household: Two or more cars or vans",54,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",343,
,,,"Number of cars or vans in household: One car or van",564,
,,,"Number of cars or vans in household: Two or more cars or vans",128,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
"Two people","Whole house or bungalow: Detached","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",3702,
,,,"Number of cars or vans in household: One car or van",45757,
,,,"Number of cars or vans in household: Two or more cars or vans",40856,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",2224,
,,,"Number of cars or vans in household: One car or van",35743,
,,,"Number of cars or vans in household: Two or more cars or vans",91969,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",751,
,,,"Number of cars or vans in household: One car or van",4048,
,,,"Number of cars or vans in household: Two or more cars or vans",1270,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",1426,
,,,"Number of cars or vans in household: One car or van",5195,
,,,"Number of cars or vans in household: Two or more cars or vans",6256,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",51,
,,,"Number of cars or vans in household: One car or van",256,
,,,"Number of cars or vans in household: Two or more cars or vans",237,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",454,
,,,"Number of cars or vans in household: One car or van",1352,
,,,"Number of cars or vans in household: Two or more cars or vans",1648,
,"Whole house or bungalow: Semi-detached","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",6630,
,,,"Number of cars or vans in household: One car or van",38245,
,,,"Number of cars or vans in household: Two or more cars or vans",13020,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",5516,
,,,"Number of cars or vans in household: One car or van",43578,
,,,"Number of cars or vans in household: Two or more cars or vans",57960,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",3895,
,,,"Number of cars or vans in household: One car or van",9954,
,,,"Number of cars or vans in household: Two or more cars or vans",1389,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",5890,
,,,"Number of cars or vans in household: One car or van",10590,
,,,"Number of cars or vans in household: Two or more cars or vans",7113,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",157,
,,,"Number of cars or vans in household: One car or van",435,
,,,"Number of cars or vans in household: Two or more cars or vans",213,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",1430,
,,,"Number of cars or vans in household: One car or van",2229,
,,,"Number of cars or vans in household: Two or more cars or vans",1569,
,"Whole house or bungalow: Terraced (including end-terrace)","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",6801,
,,,"Number of cars or vans in household: One car or van",25452,
,,,"Number of cars or vans in household: Two or more cars or vans",5360,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",6104,
,,,"Number of cars or vans in household: One car or van",36218,
,,,"Number of cars or vans in household: Two or more cars or vans",33929,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",4547,
,,,"Number of cars or vans in household: One car or van",10254,
,,,"Number of cars or vans in household: Two or more cars or vans",1184,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",6169,
,,,"Number of cars or vans in household: One car or van",9894,
,,,"Number of cars or vans in household: Two or more cars or vans",5493,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",167,
,,,"Number of cars or vans in household: One car or van",383,
,,,"Number of cars or vans in household: Two or more cars or vans",198,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",1368,
,,,"Number of cars or vans in household: One car or van",2009,
,,,"Number of cars or vans in household: Two or more cars or vans",1211,
,"Flat, maisonette or apartment: Purpose-built block of flats or tenement","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",8187,
,,,"Number of cars or vans in household: One car or van",16709,
,,,"Number of cars or vans in household: Two or more cars or vans",2721,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",30981,
,,,"Number of cars or vans in household: One car or van",54941,
,,,"Number of cars or vans in household: Two or more cars or vans",26340,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",15604,
,,,"Number of cars or vans in household: One car or van",14195,
,,,"Number of cars or vans in household: Two or more cars or vans",1133,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",12264,
,,,"Number of cars or vans in household: One car or van",10729,
,,,"Number of cars or vans in household: Two or more cars or vans",4111,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",496,
,,,"Number of cars or vans in household: One car or van",445,
,,,"Number of cars or vans in household: Two or more cars or vans",151,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",15450,
,,,"Number of cars or vans in household: One car or van",10289,
,,,"Number of cars or vans in household: Two or more cars or vans",4347,
,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",278,
,,,"Number of cars or vans in household: One car or van",1517,
,,,"Number of cars or vans in household: Two or more cars or vans",753,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",1050,
,,,"Number of cars or vans in household: One car or van",3584,
,,,"Number of cars or vans in household: Two or more cars or vans",2981,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",183,
,,,"Number of cars or vans in household: One car or van",436,
,,,"Number of cars or vans in household: Two or more cars or vans",64,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",165,
,,,"Number of cars or vans in household: One car or van",334,
,,,"Number of cars or vans in household: Two or more cars or vans",205,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",12,
,,,"Number of cars or vans in household: One car or van",24,
,,,"Number of cars or vans in household: Two or more cars or vans",5,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",565,
,,,"Number of cars or vans in household: One car or van",369,
,,,"Number of cars or vans in household: Two or more cars or vans",208,
,"Flat, maisonette or apartment: In a commercial building","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",54,
,,,"Number of cars or vans in household: One car or van",183,
,,,"Number of cars or vans in household: Two or more cars or vans",67,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",400,
,,,"Number of cars or vans in household: One car or van",717,
,,,"Number of cars or vans in household: Two or more cars or vans",512,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",102,
,,,"Number of cars or vans in household: One car or van",114,
,,,"Number of cars or vans in household: Two or more cars or vans",13,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",87,
,,,"Number of cars or vans in household: One car or van",98,
,,,"Number of cars or vans in household: Two or more cars or vans",56,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",6,
,,,"Number of cars or vans in household: One car or van",3,
,,,"Number of cars or vans in household: Two or more cars or vans",1,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",256,
,,,"Number of cars or vans in household: One car or van",150,
,,,"Number of cars or vans in household: Two or more cars or vans",77,
,"Caravan or other mobile or temporary structure","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",41,
,,,"Number of cars or vans in household: One car or van",420,
,,,"Number of cars or vans in household: Two or more cars or vans",121,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",38,
,,,"Number of cars or vans in household: One car or van",361,
,,,"Number of cars or vans in household: Two or more cars or vans",368,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",22,
,,,"Number of cars or vans in household: One car or van",27,
,,,"Number of cars or vans in household: Two or more cars or vans",4,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",23,
,,,"Number of cars or vans in household: One car or van",38,
,,,"Number of cars or vans in household: Two or more cars or vans",31,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",2,
,,,"Number of cars or vans in household: One car or van",2,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",17,
,,,"Number of cars or vans in household: One car or van",20,
,,,"Number of cars or vans in household: Two or more cars or vans",9,
"Three people","Whole house or bungalow: Detached","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",12,
,,,"Number of cars or vans in household: Two or more cars or vans",8,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",501,
,,,"Number of cars or vans in household: One car or van",9338,
,,,"Number of cars or vans in household: Two or more cars or vans",33239,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",623,
,,,"Number of cars or vans in household: One car or van",5001,
,,,"Number of cars or vans in household: Two or more cars or vans",33431,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",687,
,,,"Number of cars or vans in household: One car or van",4281,
,,,"Number of cars or vans in household: Two or more cars or vans",1772,
